"Dataset","Model","Branch_Mode","Corruption","Severity","Corruption_Seed","MSE","MAE","Realized_Rate","Elements","Checkpoint_ID","Checkpoint_SHA256","source_gpu","source_note"
"Weather","PFB-Direct","both","block","0.1","33","0.20656824909782967","0.25793598891335884","0.13756024809899153","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","block","0.2","11","0.2110786253082627","0.2642239000166179","0.19868441045652202","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","block","0.2","22","0.21102020979701466","0.2641487354937648","0.19858909398317337","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","block","0.2","33","0.2110922822058111","0.2642304563498055","0.19870829076310734","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","block","0.3","11","0.2238670052242193","0.2812572277513638","0.30769105973067107","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","block","0.3","22","0.22367114495175186","0.280973002904192","0.30753056042724186","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","block","0.3","33","0.22405356743395394","0.2812445686889853","0.3076295574874054","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","clean","0.0","0","0.20463825152359338","0.25901380855819567","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","gaussian","0.1","11","0.20576008320799744","0.2601788024417376","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","gaussian","0.1","22","0.20574751559199747","0.26017719549457524","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","gaussian","0.1","33","0.20573792220684825","0.2602033492992653","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","gaussian","0.2","11","0.20849195123139383","0.262921432524234","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","gaussian","0.2","22","0.2085160061579616","0.2629465554916057","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","gaussian","0.2","33","0.2085208049160962","0.26299829857700235","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","gaussian","0.3","11","0.21208137557473808","0.26627280811148757","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","gaussian","0.3","22","0.21208979270246414","0.26627769214857794","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","gaussian","0.3","33","0.21212590614593305","0.26635962052025525","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","mcar","0.1","11","0.22022431536658402","0.28228003501500043","0.09999911031789249","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
