Model,Dataset,Horizon,SeqLen,MSE,MAE,ExperimentName
PatchTST,ETTh1,336,336,0.49337053298950195,0.49008145928382874,long_term_forecast_PatchTST_H336_ETTh1_192_PatchTST_ETTh1_ftM_sl336_ll168_pl336_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
PatchTST,ETTh1,336,336,0.4940769672393799,0.48786911368370056,long_term_forecast_PatchTST_ETTh1_H336_seed2021_PatchTST_ETTh1_ftM_sl336_ll48_pl336_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
PatchTST,ETTh1,336,336,0.4506278932094574,0.4476773142814636,long_term_forecast_PatchTST_ETTh1_H336_seed2022_PatchTST_ETTh1_ftM_sl336_ll48_pl336_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
PatchTST,ETTh1,336,336,0.46109944581985474,0.45685505867004395,long_term_forecast_PatchTST_ETTh1_H336_seed2023_PatchTST_ETTh1_ftM_sl336_ll48_pl336_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
TiDE,ETTh1,336,336,0.4501563608646393,0.4466113746166229,long_term_forecast_TiDE_H336_ETTh1_192_TiDE_ETTh1_ftM_sl336_ll168_pl336_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
TimeXer,ETTh1,336,336,0.45746710896492004,0.45315131545066833,long_term_forecast_TimeXer_H336_ETTh1_192_TimeXer_ETTh1_ftM_sl336_ll168_pl336_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
iTransformer,ETTh1,336,336,0.4636274576187134,0.4645465910434723,long_term_forecast_iTransformer_H336_ETTh1_192_iTransformer_ETTh1_ftM_sl336_ll168_pl336_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
PatchFusionBERT_v0,ETTh1,720,96,0.5057691335678101,0.48887479305267334,long_term_forecast_ETTh1_96_720_PatchFusionBERT_v0_ETTh1_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
Autoformer,ETTh2,96,96,0.36960285902023315,0.4058757424354553,long_term_forecast_Autoformer_100epoch_Autoformer_ETTh2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
DLinear,ETTh2,96,336,0.30269038677215576,0.3661595284938812,long_term_forecast_DLinear_100epoch_DLinear_ETTh2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_baseline_100_0
DLinear,ETTh2,96,336,0.30734774470329285,0.36979350447654724,long_term_forecast_DLinear_ETTh2_H96_seed2021_DLinear_ETTh2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
DLinear,ETTh2,96,336,0.3018884062767029,0.36612024903297424,long_term_forecast_DLinear_ETTh2_H96_seed2022_DLinear_ETTh2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
DLinear,ETTh2,96,336,0.3091532588005066,0.37199708819389343,long_term_forecast_DLinear_ETTh2_H96_seed2023_DLinear_ETTh2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
Informer,ETTh2,96,96,2.8697290420532227,1.338467001914978,long_term_forecast_Informer_100epoch_Informer_ETTh2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
PatchFusionBERT_BERTOnly,ETTh2,96,336,0.3085458278656006,0.36794278025627136,long_term_forecast_BERTOnly_100epoch_PatchFusionBERT_BERTOnly_ETTh2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_Ablation_100_0
PatchFusionBERT_v0,ETTh2,96,336,0.30538833141326904,0.3523827791213989,long_term_forecast_PFB_v0_100epoch_PatchFusionBERT_v0_ETTh2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_PFB_100_0
PatchFusionBERT_v2,ETTh2,96,336,0.2893078029155731,0.34741267561912537,long_term_forecast_PFB_v2_100epoch_PatchFusionBERT_v2_ETTh2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_PFB_100_0
PatchTST,ETTh2,96,336,0.3145037591457367,0.3646617531776428,long_term_forecast_PatchTST_100epoch_PatchTST_ETTh2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_baseline_100_0
PatchTST,ETTh2,96,336,0.30821293592453003,0.36310914158821106,long_term_forecast_PatchTST_ETTh2_H96_seed2021_PatchTST_ETTh2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
PatchTST,ETTh2,96,336,0.3188599646091461,0.36719128489494324,long_term_forecast_PatchTST_ETTh2_H96_seed2022_PatchTST_ETTh2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
PatchTST,ETTh2,96,336,0.3163600265979767,0.3675025403499603,long_term_forecast_PatchTST_ETTh2_H96_seed2023_PatchTST_ETTh2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
TiDE,ETTh2,96,336,0.2914274036884308,0.3515274226665497,long_term_forecast_TiDE_100epoch_TiDE_ETTh2_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_baseline_100_0
TimeXer,ETTh2,96,336,0.29686692357063293,0.36043912172317505,long_term_forecast_TimeXer_100epoch_TimeXer_ETTh2_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_baseline_100_0
Transformer,ETTh2,96,96,2.7321393489837646,1.3180590867996216,long_term_forecast_Transformer_100epoch_Transformer_ETTh2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_baseline_100_0
iTransformer,ETTh2,96,336,0.3062117397785187,0.36055323481559753,long_term_forecast_iTransformer_100epoch_iTransformer_ETTh2_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_baseline_100_0
Autoformer,ETTh2,192,96,0.4351978302001953,0.44656404852867126,long_term_forecast_Autoformer_H192_ETTh2_192_Autoformer_ETTh2_ftM_sl96_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
DLinear,ETTh2,192,336,0.3820885419845581,0.41691499948501587,long_term_forecast_DLinear_H192_ETTh2_192_DLinear_ETTh2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
DLinear,ETTh2,192,336,0.3820885419845581,0.41691499948501587,long_term_forecast_DLinear_MS2021_ETTh2_192_DLinear_ETTh2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
DLinear,ETTh2,192,336,0.3966434895992279,0.4271252453327179,long_term_forecast_DLinear_MS2022_ETTh2_192_DLinear_ETTh2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
DLinear,ETTh2,192,336,0.3997271955013275,0.4297122061252594,long_term_forecast_DLinear_MS2023_ETTh2_192_DLinear_ETTh2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
Informer,ETTh2,192,96,5.8649702072143555,2.0535264015197754,long_term_forecast_Informer_H192_ETTh2_192_Informer_ETTh2_ftM_sl96_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
PatchFusionBERT_BERTOnly,ETTh2,192,336,0.38953882455825806,0.4296457767486572,long_term_forecast_BERTOnly_H192_ETTh2_192_PatchFusionBERT_BERTOnly_ETTh2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Ablation_100_0
PatchFusionBERT_v0,ETTh2,192,336,0.37201127409935,0.40039920806884766,long_term_forecast_PFB_v0_H192_ETTh2_192_PatchFusionBERT_v0_ETTh2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0
