Dataset,Horizon,Model,Checkpoint_Folder,Seq_Len,D_Model,E_Layers,Batch_Size,Corruption,Rate,MSE,MAE,RMSE,MAPE,MSPE
ETTm2,192,PatchTST,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,128,3,32,gaussian,0.5,0.23313044011592865,0.30593928694725037,0.4828358292579651,1.238073468208313,243.88018798828125
ETTm2,192,PatchTST,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,128,3,32,channel_dropout,0.1,0.6324971318244934,0.44992008805274963,0.7952969074249268,1.1798535585403442,200.01588439941406
ETTm2,192,PatchTST,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,128,3,32,channel_dropout,0.2,0.6324971318244934,0.44992008805274963,0.7952969074249268,1.1798535585403442,200.01588439941406
ETTm2,192,PatchTST,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,128,3,32,channel_dropout,0.3,1.056536078453064,0.5959246158599854,1.0278793573379517,1.1444956064224243,172.96994018554688
ETTm2,192,PFB-Direct,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,128,3,32,clean,0.0,0.23469436168670654,0.29971960186958313,0.48445263504981995,1.1638927459716797,206.93789672851562
ETTm2,192,PFB-Direct,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,128,3,32,gaussian,0.1,0.23438341915607452,0.29965677857398987,0.4841316044330597,1.1645803451538086,207.3249969482422
ETTm2,192,PFB-Direct,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,128,3,32,gaussian,0.3,0.2332247644662857,0.2997249364852905,0.48293349146842957,1.1703323125839233,208.35194396972656
ETTm2,192,PFB-Direct,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,128,3,32,gaussian,0.5,0.2333940863609314,0.3008837401866913,0.4831087589263916,1.1831715106964111,210.9076690673828
ETTm2,192,PFB-Direct,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,128,3,32,channel_dropout,0.1,0.6379590034484863,0.44837814569473267,0.7987233400344849,1.1419626474380493,176.13015747070312
ETTm2,192,PFB-Direct,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,128,3,32,channel_dropout,0.2,0.6379590034484863,0.44837814569473267,0.7987233400344849,1.1419626474380493,176.13015747070312
ETTm2,192,PFB-Direct,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,128,3,32,channel_dropout,0.3,1.0601783990859985,0.5944501757621765,1.0296496152877808,1.1177630424499512,156.22219848632812
ETTm2,192,PFB-Projected,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,128,3,32,clean,0.0,0.23469649255275726,0.30013155937194824,0.48445484042167664,1.205148458480835,230.51583862304688
ETTm2,192,PFB-Projected,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,128,3,32,gaussian,0.1,0.23483078181743622,0.3002844452857971,0.4845934212207794,1.206051230430603,231.1616973876953
ETTm2,192,PFB-Projected,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,128,3,32,gaussian,0.3,0.23598669469356537,0.30166634917259216,0.4857846200466156,1.2155178785324097,233.6688995361328
ETTm2,192,PFB-Projected,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,128,3,32,gaussian,0.5,0.23919767141342163,0.30467239022254944,0.4890784025192261,1.2363460063934326,239.44862365722656
ETTm2,192,PFB-Projected,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,128,3,32,channel_dropout,0.1,0.6372612118721008,0.4482719302177429,0.7982864379882812,1.1781669855117798,195.26504516601562
ETTm2,192,PFB-Projected,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,128,3,32,channel_dropout,0.2,0.6372612118721008,0.4482719302177429,0.7982864379882812,1.1781669855117798,195.26504516601562
ETTm2,192,PFB-Projected,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,128,3,32,channel_dropout,0.3,1.0602340698242188,0.5944803953170776,1.0296766757965088,1.1387572288513184,169.74871826171875
Weather,96,DLinear,long_term_forecast_DLinear_Weather_H96_seed2021_DLinear_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,512,2,32,clean,0.0,0.17428497970104218,0.23393653333187103,0.41747453808784485,10.999564170837402,12440502.0
Weather,96,DLinear,long_term_forecast_DLinear_Weather_H96_seed2021_DLinear_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,512,2,32,gaussian,0.1,0.174325630068779,0.2340107411146164,0.41752320528030396,11.003662109375,12466812.0
Weather,96,DLinear,long_term_forecast_DLinear_Weather_H96_seed2021_DLinear_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,512,2,32,gaussian,0.3,0.17474186420440674,0.23463673889636993,0.41802138090133667,11.033293724060059,12543950.0
Weather,96,DLinear,long_term_forecast_DLinear_Weather_H96_seed2021_DLinear_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,512,2,32,gaussian,0.5,0.1756037324666977,0.23582956194877625,0.41905099153518677,11.095152854919434,12653764.0
Weather,96,DLinear,long_term_forecast_DLinear_Weather_H96_seed2021_DLinear_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,512,2,32,channel_dropout,0.1,0.21478374302387238,0.2683722972869873,0.4634476602077484,10.312718391418457,12098860.0
Weather,96,DLinear,long_term_forecast_DLinear_Weather_H96_seed2021_DLinear_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,512,2,32,channel_dropout,0.2,0.26754671335220337,0.30614766478538513,0.5172491669654846,10.20651912689209,12098377.0
Weather,96,DLinear,long_term_forecast_DLinear_Weather_H96_seed2021_DLinear_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,512,2,32,channel_dropout,0.3,0.30660998821258545,0.33767277002334595,0.5537237524986267,10.772317886352539,12439877.0
Weather,96,PatchTST,long_term_forecast_PatchTST_Weather_H96_seed2021_PatchTST_custom_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,128,3,32,clean,0.0,0.15260770916938782,0.20186977088451385,0.39065036177635193,12.218732833862305,18278134.0
Weather,96,PatchTST,long_term_forecast_PatchTST_Weather_H96_seed2021_PatchTST_custom_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,128,3,32,gaussian,0.1,0.1532144844532013,0.2028941959142685,0.3914262056350708,12.182798385620117,18140892.0
Weather,96,PatchTST,long_term_forecast_PatchTST_Weather_H96_seed2021_PatchTST_custom_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,128,3,32,gaussian,0.3,0.15774542093276978,0.209378182888031,0.3971717655658722,11.895808219909668,16720125.0
Weather,96,PatchTST,long_term_forecast_PatchTST_Weather_H96_seed2021_PatchTST_custom_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,128,3,32,gaussian,0.5,0.16618935763835907,0.21956804394721985,0.4076632857322693,11.500975608825684,14684666.0
