dataset,horizon,model,seed,mse,mae
Exchange,96,DLinear,2025,0.07905393838882446,0.1996963620185852
Weather,96,PatchFusionBERT_v0,2025,0.14858406782150269,0.19602391123771667
Weather,96,PatchFusionBERT_v2,2025,0.14969533681869507,0.19827039539813995
Weather,96,PatchTST,2025,0.14947131276130676,0.19704408943653107
Weather,96,DLinear,2025,0.17335757613182068,0.23316025733947754
ETTm1,336,PatchFusionBERT_v0,2021,0.38225868344306946,0.39914095401763916
ETTm1,336,PatchFusionBERT_v2,2021,0.36945074796676636,0.39610999822616577
ETTm1,336,PatchTST,2021,0.37405356764793396,0.3981127440929413
ETTm1,336,DLinear,2021,0.3704244792461395,0.3871592879295349
ETTm2,336,PatchFusionBERT_v0,2021,0.273871511220932,0.32909080386161804
ETTm2,336,PatchFusionBERT_v2,2021,0.301374614238739,0.3496493399143219
ETTm2,336,PatchTST,2021,0.2934870719909668,0.34565988183021545
ETTm2,336,DLinear,2021,0.29303935170173645,0.3524199426174164
ETTh1,336,PatchFusionBERT_v0,2021,0.4378277361392975,0.44761794805526733
ETTh1,336,PatchFusionBERT_v2,2021,0.4410969614982605,0.4404427409172058
ETTh1,336,PatchTST,2021,0.49337053298950195,0.49008145928382874
ETTh1,336,DLinear,2021,0.4344950318336487,0.4352075755596161
ETTh2,336,PatchFusionBERT_v0,2021,0.3814277946949005,0.41385334730148315
ETTh2,336,PatchFusionBERT_v2,2021,0.39553478360176086,0.42251238226890564
ETTh2,336,PatchTST,2021,0.40590527653694153,0.429319828748703
ETTh2,336,DLinear,2021,0.42573878169059753,0.45548510551452637
Exchange,336,PatchFusionBERT_v0,2021,0.3533194661140442,0.4340231716632843
Exchange,336,PatchFusionBERT_v2,2021,0.33808934688568115,0.4222877323627472
Exchange,336,PatchTST,2021,0.3138968348503113,0.409212589263916
Exchange,336,DLinear,2021,0.2889705300331116,0.40268653631210327
Weather,336,PatchFusionBERT_v0,2021,0.2517067492008209,0.2838646173477173
Weather,336,PatchFusionBERT_v2,2021,0.24456921219825745,0.2801981270313263
Weather,336,PatchTST,2021,0.24788911640644073,0.2813984453678131
Weather,336,DLinear,2021,0.26123175024986267,0.3115933835506439
ETTm1,336,PatchFusionBERT_v0,2022,0.3741481304168701,0.4007539749145508
ETTm1,336,PatchFusionBERT_v2,2022,0.36856725811958313,0.39412805438041687
ETTm1,336,PatchTST,2022,0.3726075291633606,0.39980804920196533
ETTm1,336,DLinear,2022,0.36871451139450073,0.38482147455215454
ETTm2,336,PatchFusionBERT_v0,2022,0.282012403011322,0.33415377140045166
ETTm2,336,PatchFusionBERT_v2,2022,0.287454754114151,0.33660078048706055
ETTm2,336,PatchTST,2022,0.29182562232017517,0.34203261137008667
ETTm2,336,DLinear,2022,0.2846544086933136,0.3420600891113281
ETTh1,336,PatchFusionBERT_v0,2022,0.48727020621299744,0.47671449184417725
ETTh1,336,PatchFusionBERT_v2,2022,0.4526747167110443,0.4491744339466095
ETTh1,336,PatchTST,2022,0.4961349666118622,0.4877568483352661
ETTh1,336,DLinear,2022,0.43519851565361023,0.43593859672546387
ETTh2,336,PatchFusionBERT_v0,2022,0.38820937275886536,0.4145835340023041
