Dataset,Horizon,Model,Corruption,Missing_Rate,Block_Size,Checkpoint_Folder,Seq_Len,Label_Len,D_Model,E_Layers,Batch_Size,MSE,MAE,RMSE,MAPE,MSPE,Clean_MSE,Clean_MAE,MSE_DegradationPct,MAE_DegradationPct
ETTm2,192,PFB-Projected,block,0.1,24,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.3350827991962433,0.3787197470664978,0.5788633823394775,1.1910520792007446,202.8605194091797,0.2346964925527572,0.3001315593719482,42.772819291673194,26.18457980860205
ETTm2,192,DLinear,block,0.2,24,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.3439347743988037,0.3933658003807068,0.5864595174789429,1.133381724357605,189.74534606933597,0.2357288300991058,0.3152771890163421,45.9027197709358,24.768240166058135
ETTm2,192,PatchTST,block,0.2,24,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.4586969912052154,0.4598579704761505,0.6772717237472534,1.2037527561187744,203.9337921142578,0.2281993776559829,0.3018465936183929,101.00711751138702,52.348239204422576
ETTm2,192,PFB-Direct,block,0.2,24,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.3743621706962585,0.4058806300163269,0.6118514537811279,1.1472535133361816,177.32945251464844,0.2346943616867065,0.2997196018695831,59.51050890434026,35.420115162483654
ETTm2,192,PFB-Projected,block,0.2,24,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.4459731578826904,0.4430280029773712,0.6678122282028198,1.1940628290176392,190.3600006103516,0.2346964925527572,0.3001315593719482,90.0212282816457,47.61126883972031
ETTm2,192,DLinear,block,0.3,24,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.4352256953716278,0.4469385743141174,0.6597163677215576,1.134143352508545,177.47698974609375,0.2357288300991058,0.3152771890163421,84.62981180055445,41.760517374744396
ETTm2,192,PatchTST,block,0.3,24,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.5609166026115417,0.5058054327964783,0.7489436864852905,1.2001272439956665,189.51466369628903,0.2281993776559829,0.3018465936183929,145.80110970203418,67.57036305532694
ETTm2,192,PFB-Direct,block,0.3,24,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.5475205183029175,0.4999088048934936,0.7399463057518005,1.1480791568756104,166.88072204589844,0.2346943616867065,0.2997196018695831,133.29087003538783,66.79216233278557
ETTm2,192,PFB-Projected,block,0.3,24,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.6495538949966431,0.5346998572349548,0.8059490919113159,1.2014920711517334,179.5471649169922,0.2346964925527572,0.3001315593719482,176.76335846844003,78.15515914216469
ETTm2,192,DLinear,random,0.1,24,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.3151169717311859,0.3830854892730713,0.5613527894020081,1.0774338245391846,173.4727325439453,0.2357288300991058,0.3152771890163421,33.677739629345936,21.507518659465845
