Dataset,Horizon,Model,MSE,MAE,Source,MSE_Rank,MAE_Rank,BestExistingModel,BestExistingMSE,BestExistingMAE,DeltaVsBestExisting_MSE,DeltaVsBestExisting_MAE
ETTh2,192,PatchFusionBERT_BERTOnly,0.3895,0.4296,results_23-01.md,10.0,10.0,TiDE,0.3517,0.3903,0.0378,0.0393
ETTh2,336,TiDE,0.3736,0.4109,results_23-01.md,1.0,1.0,TiDE,0.3736,0.4109,0.0,0.0
ETTh2,336,WPMixer,0.375068336725235,0.41346126794815063,result_long_term_forecast.txt,2.0,2.0,TiDE,0.3736,0.4109,0.0014683367252349977,0.0025612679481506473
ETTh2,336,PatchFusionBERT_v0,0.3814,0.4139,results_23-01.md,3.0,3.0,TiDE,0.3736,0.4109,0.007800000000000029,0.0030000000000000027
ETTh2,336,TimeXer,0.3945,0.4265,results_23-01.md,4.0,6.0,TiDE,0.3736,0.4109,0.02090000000000003,0.015600000000000003
ETTh2,336,PatchFusionBERT_v2,0.3955,0.4225,results_23-01.md,5.0,4.0,TiDE,0.3736,0.4109,0.02190000000000003,0.0116
ETTh2,336,PAttn,0.3966336250305176,0.4291788637638092,result_long_term_forecast.txt,6.0,7.0,TiDE,0.3736,0.4109,0.02303362503051759,0.018278863763809217
ETTh2,336,iTransformer,0.3988,0.4229,results_23-01.md,7.0,5.0,TiDE,0.3736,0.4109,0.0252,0.01200000000000001
ETTh2,336,PatchTST,0.4059,0.4293,results_23-01.md,8.0,8.0,TiDE,0.3736,0.4109,0.032299999999999995,0.018400000000000027
ETTh2,336,DLinear,0.4747,0.4773,results_23-01.md,9.0,9.0,TiDE,0.3736,0.4109,0.10110000000000002,0.06640000000000001
ETTh2,336,PatchFusionBERT_BERTOnly,0.5889,0.5536,results_23-01.md,10.0,10.0,TiDE,0.3736,0.4109,0.2153,0.1427
ETTm1,96,WPMixer,0.2862321436405182,0.3392452597618103,result_long_term_forecast.txt,1.0,1.0,PatchFusionBERT_BERTOnly,0.2967,0.3486,-0.01046785635948183,-0.009354740238189718
ETTm1,96,PAttn,0.2957708537578583,0.34685763716697693,result_long_term_forecast.txt,2.0,4.0,PatchFusionBERT_BERTOnly,0.2967,0.3486,-0.0009291462421417429,-0.0017423628330230923
ETTm1,96,PatchFusionBERT_BERTOnly,0.2967,0.3486,results_23-01.md,3.0,7.0,PatchFusionBERT_BERTOnly,0.2967,0.3486,0.0,0.0
ETTm1,96,PatchTST,0.2982,0.349,results_23-01.md,4.0,8.0,PatchFusionBERT_BERTOnly,0.2967,0.3486,0.0015000000000000013,0.00039999999999995595
ETTm1,96,PatchFusionBERT_v2,0.2984,0.3466,results_23-01.md,5.0,3.0,PatchFusionBERT_BERTOnly,0.2967,0.3486,0.0016999999999999793,-0.0020000000000000018
ETTm1,96,DLinear,0.2998,0.3431,results_23-01.md,6.0,2.0,PatchFusionBERT_BERTOnly,0.2967,0.3486,0.0030999999999999917,-0.005500000000000005
ETTm1,96,PatchFusionBERT_v0,0.3037,0.3479,results_23-01.md,7.0,5.0,PatchFusionBERT_BERTOnly,0.2967,0.3486,0.007000000000000006,-0.0007000000000000339
ETTm1,96,TiDE,0.3069,0.3485,results_23-01.md,8.0,6.0,PatchFusionBERT_BERTOnly,0.2967,0.3486,0.010199999999999987,-0.0001000000000000445
ETTm1,96,iTransformer,0.3099,0.3613,results_23-01.md,9.0,9.0,PatchFusionBERT_BERTOnly,0.2967,0.3486,0.01319999999999999,0.012699999999999989
ETTm1,96,TimeXer,0.316,0.3614,results_23-01.md,10.0,10.0,PatchFusionBERT_BERTOnly,0.2967,0.3486,0.019299999999999984,0.012799999999999978
ETTm1,192,WPMixer,0.3277513384819031,0.36552315950393677,result_long_term_forecast.txt,1.0,2.0,PatchFusionBERT_v2,0.3326,0.369,-0.004848661518096931,-0.003476840496063227
ETTm1,192,PatchFusionBERT_v2,0.3326,0.369,results_23-01.md,2.0,3.0,PatchFusionBERT_v2,0.3326,0.369,0.0,0.0
ETTm1,192,DLinear,0.3345,0.3649,results_23-01.md,3.0,1.0,PatchFusionBERT_v2,0.3326,0.369,0.0019000000000000128,-0.0040999999999999925
ETTm1,192,PAttn,0.33450818061828613,0.3733460307121277,result_long_term_forecast.txt,4.0,6.0,PatchFusionBERT_v2,0.3326,0.369,0.001908180618286126,0.004346030712127691
ETTm1,192,PatchFusionBERT_BERTOnly,0.3383,0.3715,results_23-01.md,5.0,5.0,PatchFusionBERT_v2,0.3326,0.369,0.005699999999999983,0.0025000000000000022
ETTm1,192,TiDE,0.3416,0.369,results_23-01.md,6.0,3.0,PatchFusionBERT_v2,0.3326,0.369,0.009000000000000008,0.0
ETTm1,192,iTransformer,0.3424,0.3801,results_23-01.md,7.0,9.0,PatchFusionBERT_v2,0.3326,0.369,0.009799999999999975,0.011099999999999999
ETTm1,192,PatchFusionBERT_v0,0.3426,0.3747,results_23-01.md,8.0,7.0,PatchFusionBERT_v2,0.3326,0.369,0.010000000000000009,0.005699999999999983
ETTm1,192,PatchTST,0.3429,0.3776,results_23-01.md,9.0,8.0,PatchFusionBERT_v2,0.3326,0.369,0.010299999999999976,0.008599999999999997
ETTm1,192,TimeXer,0.3612,0.3862,results_23-01.md,10.0,10.0,PatchFusionBERT_v2,0.3326,0.369,0.028600000000000014,0.017199999999999993
ETTm1,336,WPMixer,0.3618716597557068,0.38641950488090515,result_long_term_forecast.txt,1.0,2.0,DLinear,0.3695,0.3859,-0.007628340244293208,0.0005195048809051306
ETTm1,336,DLinear,0.3695,0.3859,results_23-01.md,2.0,1.0,DLinear,0.3695,0.3859,0.0,0.0
ETTm1,336,PatchFusionBERT_v2,0.3695,0.3961,results_23-01.md,2.0,4.0,DLinear,0.3695,0.3859,0.0,0.010199999999999987
