Dataset,Horizon,Model,Corruption,Missing_Rate,Block_Size,Checkpoint_Folder,Seq_Len,Label_Len,D_Model,E_Layers,Batch_Size,MSE,MAE,RMSE,MAPE,MSPE
ETTm2,96,PFB-Projected,block,0.3,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.3529358208179474,0.3996203541755676,0.5940840244293213,1.0103538036346436,155.1712646484375
ETTm2,192,DLinear,clean,0.0,24,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.23572883009910583,0.31527718901634216,0.485519140958786,1.1286134719848633,209.4220733642578
ETTm2,192,DLinear,random,0.1,24,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.3151169717311859,0.3830854892730713,0.5613527894020081,1.0774338245391846,173.4727325439453
ETTm2,192,DLinear,random,0.2,24,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.4397171437740326,0.4657628834247589,0.663111686706543,1.0388301610946655,140.0867919921875
ETTm2,192,DLinear,random,0.3,24,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.6132957339286804,0.561113178730011,0.783132016658783,1.0105643272399902,110.57190704345703
ETTm2,192,DLinear,block,0.1,24,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.2916155755519867,0.35871389508247375,0.5400144457817078,1.1340910196304321,202.936767578125
ETTm2,192,DLinear,block,0.2,24,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.3439347743988037,0.3933658003807068,0.5864595174789429,1.133381724357605,189.74534606933594
ETTm2,192,DLinear,block,0.3,24,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.4352256953716278,0.44693857431411743,0.6597163677215576,1.134143352508545,177.47698974609375
ETTm2,192,PatchTST,clean,0.0,24,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.22819937765598297,0.30184659361839294,0.47770217061042786,1.2074114084243774,236.75086975097656
ETTm2,192,PatchTST,random,0.1,24,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.29112857580184937,0.3585469424724579,0.5395632982254028,1.1423135995864868,192.40936279296875
