Dataset,Horizon,Model,Corruption,Missing_Rate,Block_Size,Checkpoint_Folder,Seq_Len,Label_Len,D_Model,E_Layers,Batch_Size,MSE,MAE,RMSE,MAPE,MSPE
Exchange,192,PFB-Projected,block,0.3,24,long_term_forecast_PFB-Projected_H192_Exchange_192_PFB-Projected_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.47037580609321594,0.49833300709724426,0.6858394742012024,1.9484959840774536,2370.20703125
Illness,24,DLinear,clean,0.0,24,long_term_forecast_DLinear_MS2021_Illness_192_DLinear_custom_ftM_sl104_ll18_pl24_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,512,2,32,3.2126238346099854,1.2708706855773926,1.792379379272461,3.2162606716156006,423.08795166015625
Illness,24,DLinear,random,0.1,24,long_term_forecast_DLinear_MS2021_Illness_192_DLinear_custom_ftM_sl104_ll18_pl24_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,512,2,32,3.459383964538574,1.3220524787902832,1.8599419593811035,2.9539434909820557,335.14349365234375
Illness,24,DLinear,random,0.2,24,long_term_forecast_DLinear_MS2021_Illness_192_DLinear_custom_ftM_sl104_ll18_pl24_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,512,2,32,3.7405054569244385,1.3751846551895142,1.9340386390686035,2.725970983505249,270.4556579589844
Illness,24,DLinear,random,0.3,24,long_term_forecast_DLinear_MS2021_Illness_192_DLinear_custom_ftM_sl104_ll18_pl24_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,512,2,32,4.038584232330322,1.4279998540878296,2.009622812271118,2.4950170516967773,215.09774780273438
Illness,24,DLinear,block,0.1,24,long_term_forecast_DLinear_MS2021_Illness_192_DLinear_custom_ftM_sl104_ll18_pl24_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,512,2,32,3.8468379974365234,1.3964405059814453,1.9613357782363892,2.7395973205566406,307.5785217285156
Illness,24,DLinear,block,0.2,24,long_term_forecast_DLinear_MS2021_Illness_192_DLinear_custom_ftM_sl104_ll18_pl24_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,512,2,32,3.8468379974365234,1.3964405059814453,1.9613357782363892,2.7395973205566406,307.5785217285156
Illness,24,DLinear,block,0.3,24,long_term_forecast_DLinear_MS2021_Illness_192_DLinear_custom_ftM_sl104_ll18_pl24_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,512,2,32,3.8468379974365234,1.3964405059814453,1.9613357782363892,2.7395973205566406,307.5785217285156
Illness,24,PatchTST,clean,0.0,24,long_term_forecast_PatchTST_MS2021_Illness_192_PatchTST_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.226719379425049,1.0280022621154785,1.4922195672988892,4.230682849884033,969.2113647460938
Illness,24,PatchTST,random,0.1,24,long_term_forecast_PatchTST_MS2021_Illness_192_PatchTST_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.4810967445373535,1.106569528579712,1.5751497745513916,4.081719398498535,919.8035888671875
Illness,24,PatchTST,random,0.2,24,long_term_forecast_PatchTST_MS2021_Illness_192_PatchTST_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.790583372116089,1.184946060180664,1.6705039739608765,3.843118667602539,804.0360107421875
Illness,24,PatchTST,random,0.3,24,long_term_forecast_PatchTST_MS2021_Illness_192_PatchTST_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,3.153149366378784,1.2654998302459717,1.775710940361023,3.553701400756836,672.2015991210938
Illness,24,PatchTST,block,0.1,24,long_term_forecast_PatchTST_MS2021_Illness_192_PatchTST_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.868516445159912,1.172669768333435,1.6936695575714111,3.6512503623962402,726.079345703125
Illness,24,PatchTST,block,0.2,24,long_term_forecast_PatchTST_MS2021_Illness_192_PatchTST_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.868516445159912,1.172669768333435,1.6936695575714111,3.6512503623962402,726.079345703125
Illness,24,PatchTST,block,0.3,24,long_term_forecast_PatchTST_MS2021_Illness_192_PatchTST_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.868516445159912,1.172669768333435,1.6936695575714111,3.6512503623962402,726.079345703125
Illness,24,PFB-Direct,clean,0.0,24,long_term_forecast_PFB-Direct_MS2021_Illness_192_PFB-Direct_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,1.960111379623413,0.8826153874397278,1.400039792060852,3.5929737091064453,869.9757690429688
Illness,24,PFB-Direct,random,0.1,24,long_term_forecast_PFB-Direct_MS2021_Illness_192_PFB-Direct_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.1947314739227295,0.9716910123825073,1.4814625978469849,3.338167428970337,670.9249267578125
Illness,24,PFB-Direct,random,0.2,24,long_term_forecast_PFB-Direct_MS2021_Illness_192_PFB-Direct_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.512208938598633,1.0659408569335938,1.584994912147522,3.14017391204834,579.1771850585938
Illness,24,PFB-Direct,random,0.3,24,long_term_forecast_PFB-Direct_MS2021_Illness_192_PFB-Direct_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.887315034866333,1.1620028018951416,1.6992101669311523,2.9470086097717285,499.8492431640625
Illness,24,PFB-Direct,block,0.1,24,long_term_forecast_PFB-Direct_MS2021_Illness_192_PFB-Direct_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.580906867980957,1.0530664920806885,1.6065200567245483,3.204677104949951,666.6123046875
Illness,24,PFB-Direct,block,0.2,24,long_term_forecast_PFB-Direct_MS2021_Illness_192_PFB-Direct_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.580906867980957,1.0530664920806885,1.6065200567245483,3.204677104949951,666.6123046875
Illness,24,PFB-Direct,block,0.3,24,long_term_forecast_PFB-Direct_MS2021_Illness_192_PFB-Direct_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.580906867980957,1.0530664920806885,1.6065200567245483,3.204677104949951,666.6123046875
Illness,24,PFB-Projected,clean,0.0,24,long_term_forecast_Illness_104_24_MS2021_PFB-Projected_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,104,18,128,3,32,2.0520384311676025,0.9311892986297607,1.432493805885315,3.5919101238250732,793.700439453125
Illness,24,PFB-Projected,random,0.1,24,long_term_forecast_Illness_104_24_MS2021_PFB-Projected_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,104,18,128,3,32,2.260592460632324,1.004497766494751,1.5035266876220703,3.328920364379883,646.0903930664062
Illness,24,PFB-Projected,random,0.2,24,long_term_forecast_Illness_104_24_MS2021_PFB-Projected_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,104,18,128,3,32,2.5521063804626465,1.0875693559646606,1.5975313186645508,3.1900651454925537,602.5773315429688
Illness,24,PFB-Projected,random,0.3,24,long_term_forecast_Illness_104_24_MS2021_PFB-Projected_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,104,18,128,3,32,2.9037554264068604,1.173837423324585,1.7040408849716187,2.8627278804779053,449.05078125
Illness,24,PFB-Projected,block,0.1,24,long_term_forecast_Illness_104_24_MS2021_PFB-Projected_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,104,18,128,3,32,2.7632193565368652,1.1086632013320923,1.6622934341430664,3.154017210006714,585.4088745117188
Illness,24,PFB-Projected,block,0.2,24,long_term_forecast_Illness_104_24_MS2021_PFB-Projected_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,104,18,128,3,32,2.7632193565368652,1.1086632013320923,1.6622934341430664,3.154017210006714,585.4088745117188
Illness,24,PFB-Projected,block,0.3,24,long_term_forecast_Illness_104_24_MS2021_PFB-Projected_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,104,18,128,3,32,2.7632193565368652,1.1086632013320923,1.6622934341430664,3.154017210006714,585.4088745117188
Illness,48,DLinear,clean,0.0,24,long_term_forecast_DLinearAlign_MS2021_Illness_48_DLinear_custom_ftM_sl104_ll18_pl48_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_illness_align_lr001_0,104,18,512,2,32,2.288309097290039,1.07637357711792,1.5127158164978027,2.9391250610351562,557.8015747070312
Illness,48,DLinear,random,0.1,24,long_term_forecast_DLinearAlign_MS2021_Illness_48_DLinear_custom_ftM_sl104_ll18_pl48_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_illness_align_lr001_0,104,18,512,2,32,2.6371006965637207,1.146507740020752,1.623915195465088,2.7346649169921875,453.9914855957031
Illness,48,DLinear,random,0.2,24,long_term_forecast_DLinearAlign_MS2021_Illness_48_DLinear_custom_ftM_sl104_ll18_pl48_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_illness_align_lr001_0,104,18,512,2,32,3.0177907943725586,1.2219239473342896,1.737178921699524,2.6267831325531006,415.6255798339844
Illness,48,DLinear,random,0.3,24,long_term_forecast_DLinearAlign_MS2021_Illness_48_DLinear_custom_ftM_sl104_ll18_pl48_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_illness_align_lr001_0,104,18,512,2,32,3.3913040161132812,1.2934958934783936,1.8415493965148926,2.463899612426758,362.4229431152344
Illness,48,DLinear,block,0.1,24,long_term_forecast_DLinearAlign_MS2021_Illness_48_DLinear_custom_ftM_sl104_ll18_pl48_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_illness_align_lr001_0,104,18,512,2,32,3.064319133758545,1.2336117029190063,1.7505196332931519,2.7935774326324463,500.2888488769531
Illness,48,DLinear,block,0.2,24,long_term_forecast_DLinearAlign_MS2021_Illness_48_DLinear_custom_ftM_sl104_ll18_pl48_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_illness_align_lr001_0,104,18,512,2,32,3.064319133758545,1.2336117029190063,1.7505196332931519,2.7935774326324463,500.2888488769531
Illness,48,DLinear,block,0.3,24,long_term_forecast_DLinearAlign_MS2021_Illness_48_DLinear_custom_ftM_sl104_ll18_pl48_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_illness_align_lr001_0,104,18,512,2,32,3.064319133758545,1.2336117029190063,1.7505196332931519,2.7935774326324463,500.2888488769531
Illness,48,PatchTST,clean,0.0,24,long_term_forecast_PatchTST_MS2021_Illness_48_PatchTST_custom_ftM_sl104_ll18_pl48_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_illness_horizons_0,104,18,128,3,32,1.9039270877838135,0.8919050097465515,1.379828691482544,2.8264477252960205,596.2095947265625
Illness,48,PatchTST,random,0.1,24,long_term_forecast_PatchTST_MS2021_Illness_48_PatchTST_custom_ftM_sl104_ll18_pl48_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_illness_horizons_0,104,18,128,3,32,2.198129177093506,0.9837056398391724,1.4826089143753052,2.739582061767578,557.346923828125
Illness,48,PatchTST,random,0.2,24,long_term_forecast_PatchTST_MS2021_Illness_48_PatchTST_custom_ftM_sl104_ll18_pl48_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_illness_horizons_0,104,18,128,3,32,2.576450824737549,1.0853632688522339,1.6051326990127563,2.632138967514038,495.7398986816406
Illness,48,PatchTST,random,0.3,24,long_term_forecast_PatchTST_MS2021_Illness_48_PatchTST_custom_ftM_sl104_ll18_pl48_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_illness_horizons_0,104,18,128,3,32,3.011350154876709,1.1900595426559448,1.7353242635726929,2.531209945678711,436.3172607421875
Illness,48,PatchTST,block,0.1,24,long_term_forecast_PatchTST_MS2021_Illness_48_PatchTST_custom_ftM_sl104_ll18_pl48_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_illness_horizons_0,104,18,128,3,32,2.8848319053649902,1.1317235231399536,1.6984792947769165,2.6533010005950928,468.4784851074219
Illness,48,PatchTST,block,0.2,24,long_term_forecast_PatchTST_MS2021_Illness_48_PatchTST_custom_ftM_sl104_ll18_pl48_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_illness_horizons_0,104,18,128,3,32,2.8848319053649902,1.1317235231399536,1.6984792947769165,2.6533010005950928,468.4784851074219
Illness,48,PatchTST,block,0.3,24,long_term_forecast_PatchTST_MS2021_Illness_48_PatchTST_custom_ftM_sl104_ll18_pl48_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_illness_horizons_0,104,18,128,3,32,2.8848319053649902,1.1317235231399536,1.6984792947769165,2.6533010005950928,468.4784851074219
Illness,48,PFB-Direct,clean,0.0,24,long_term_forecast_PFB-Direct_MS2021_Illness_48_PFB-Direct_custom_ftM_sl104_ll18_pl48_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_illness_horizons_0,104,18,128,3,32,1.8854596614837646,0.8945566415786743,1.3731204271316528,2.7836642265319824,524.4849853515625
