dataset,horizon,model,step,per_step_mse,n_seeds
Weather,192,DLinear,160,0.2706835865974426,5
Weather,192,DLinear,161,0.2721158266067505,5
Weather,192,DLinear,162,0.273764431476593,5
Weather,192,DLinear,163,0.2751465439796448,5
Weather,192,DLinear,164,0.27603039145469666,5
Weather,192,DLinear,165,0.27712392807006836,5
Weather,192,DLinear,166,0.27809998393058777,5
Weather,192,DLinear,167,0.27898970246315,5
Weather,192,DLinear,168,0.2801751494407654,5
Weather,192,DLinear,169,0.2813243865966797,5
Weather,192,DLinear,170,0.2822701334953308,5
Weather,192,DLinear,171,0.28313151001930237,5
Weather,192,DLinear,172,0.28450000286102295,5
Weather,192,DLinear,173,0.2854096293449402,5
Weather,192,DLinear,174,0.28658366203308105,5
Weather,192,DLinear,175,0.2871977984905243,5
Weather,192,DLinear,176,0.28855234384536743,5
Weather,192,DLinear,177,0.2888628840446472,5
Weather,192,DLinear,178,0.2896553575992584,5
Weather,192,DLinear,179,0.29030871391296387,5
Weather,192,DLinear,180,0.2913123369216919,5
Weather,192,DLinear,181,0.29206717014312744,5
Weather,192,DLinear,182,0.2924540638923645,5
Weather,192,DLinear,183,0.29307860136032104,5
Weather,192,DLinear,184,0.2941686511039734,5
Weather,192,DLinear,185,0.2945817708969116,5
Weather,192,DLinear,186,0.29533517360687256,5
Weather,192,DLinear,187,0.29574960470199585,5
Weather,192,DLinear,188,0.295806348323822,5
Weather,192,DLinear,189,0.2958436608314514,5
Weather,192,DLinear,190,0.2969169616699219,5
Weather,192,DLinear,191,0.297444224357605,5
Weather,192,DLinear,192,0.2979825437068939,5
Weather,192,PatchTST,1,0.03843775391578674,5
Weather,192,PatchTST,2,0.051305849105119705,5
Weather,192,PatchTST,3,0.05979756638407707,5
Weather,192,PatchTST,4,0.06617669761180878,5
Weather,192,PatchTST,5,0.07127063721418381,5
Weather,192,PatchTST,6,0.07552444189786911,5
Weather,192,PatchTST,7,0.0795488953590393,5
Weather,192,PatchTST,8,0.08308298885822296,5
Weather,192,PatchTST,9,0.08677245676517487,5
Weather,192,PatchTST,10,0.09005515277385712,5
Weather,192,PatchTST,11,0.09357576072216034,5
Weather,192,PatchTST,12,0.09639621526002884,5
Weather,192,PatchTST,13,0.09917272627353668,5
Weather,192,PatchTST,14,0.10184921324253082,5
Weather,192,PatchTST,15,0.10430556535720825,5
Weather,192,PatchTST,16,0.10693679749965668,5
Weather,192,PatchTST,17,0.10910133272409439,5
Weather,192,PatchTST,18,0.11149295419454575,5
Weather,192,PatchTST,19,0.1140027791261673,5
Weather,192,PatchTST,20,0.11589717864990234,5
Weather,192,PatchTST,21,0.1181129440665245,5
Weather,192,PatchTST,22,0.12019170820713043,5
Weather,192,PatchTST,23,0.12224230915307999,5
Weather,192,PatchTST,24,0.12431478500366211,5
Weather,192,PatchTST,25,0.1262412816286087,5
Weather,192,PatchTST,26,0.12823675572872162,5
Weather,192,PatchTST,27,0.13024522364139557,5
Weather,192,PatchTST,28,0.13221001625061035,5
Weather,192,PatchTST,29,0.134151428937912,5
Weather,192,PatchTST,30,0.13623766601085663,5
Weather,192,PatchTST,31,0.1376200020313263,5
Weather,192,PatchTST,32,0.13945716619491577,5
Weather,192,PatchTST,33,0.14099964499473572,5
Weather,192,PatchTST,34,0.14265860617160797,5
Weather,192,PatchTST,35,0.14415571093559265,5
Weather,192,PatchTST,36,0.14544089138507843,5
Weather,192,PatchTST,37,0.1472191959619522,5
Weather,192,PatchTST,38,0.1483485847711563,5
Weather,192,PatchTST,39,0.14956119656562805,5
Weather,192,PatchTST,40,0.15122339129447937,5
Weather,192,PatchTST,41,0.15276624262332916,5
Weather,192,PatchTST,42,0.15398553013801575,5
Weather,192,PatchTST,43,0.15540054440498352,5
Weather,192,PatchTST,44,0.1568109393119812,5
Weather,192,PatchTST,45,0.15818151831626892,5
Weather,192,PatchTST,46,0.15949587523937225,5
Weather,192,PatchTST,47,0.16089895367622375,5
Weather,192,PatchTST,48,0.1622801274061203,5
Weather,192,PatchTST,49,0.16309940814971924,5
Weather,192,PatchTST,50,0.1646166890859604,5
Weather,192,PatchTST,51,0.1659151017665863,5
Weather,192,PatchTST,52,0.167269766330719,5
Weather,192,PatchTST,53,0.16853618621826172,5
Weather,192,PatchTST,54,0.16966411471366882,5
Weather,192,PatchTST,55,0.17087975144386292,5
Weather,192,PatchTST,56,0.17186157405376434,5
Weather,192,PatchTST,57,0.17310859262943268,5
Weather,192,PatchTST,58,0.17426952719688416,5
Weather,192,PatchTST,59,0.17547142505645752,5
Weather,192,PatchTST,60,0.17648091912269592,5
Weather,192,PatchTST,61,0.1775180697441101,5
Weather,192,PatchTST,62,0.17909617722034454,5
Weather,192,PatchTST,63,0.1795254498720169,5
Weather,192,PatchTST,64,0.18086153268814087,5
Weather,192,PatchTST,65,0.1822337806224823,5
Weather,192,PatchTST,66,0.1831117570400238,5
Weather,192,PatchTST,67,0.1840176284313202,5
Weather,192,PatchTST,68,0.18468347191810608,5
Weather,192,PatchTST,69,0.1860915720462799,5
Weather,192,PatchTST,70,0.18726614117622375,5
Weather,192,PatchTST,71,0.1877867728471756,5
Weather,192,PatchTST,72,0.18906471133232117,5
Weather,192,PatchTST,73,0.19017966091632843,5
Weather,192,PatchTST,74,0.19084368646144867,5
Weather,192,PatchTST,75,0.1918768435716629,5
Weather,192,PatchTST,76,0.19258490204811096,5
Weather,192,PatchTST,77,0.19370144605636597,5
Weather,192,PatchTST,78,0.19431734085083008,5
Weather,192,PatchTST,79,0.1957458257675171,5
Weather,192,PatchTST,80,0.19649679958820343,5
Weather,192,PatchTST,81,0.19720421731472015,5
Weather,192,PatchTST,82,0.19762006402015686,5
Weather,192,PatchTST,83,0.1983317881822586,5
Weather,192,PatchTST,84,0.1993897408246994,5
Weather,192,PatchTST,85,0.20021753013134003,5
Weather,192,PatchTST,86,0.2005772590637207,5
Weather,192,PatchTST,87,0.20115387439727783,5
Weather,192,PatchTST,88,0.20181187987327576,5
Weather,192,PatchTST,89,0.2024688422679901,5
Weather,192,PatchTST,90,0.20328719913959503,5
Weather,192,PatchTST,91,0.20352427661418915,5
Weather,192,PatchTST,92,0.20444941520690918,5
Weather,192,PatchTST,93,0.20490963757038116,5
Weather,192,PatchTST,94,0.20580565929412842,5
Weather,192,PatchTST,95,0.20686599612236023,5
Weather,192,PatchTST,96,0.20736384391784668,5
Weather,192,PatchTST,97,0.208017498254776,5
Weather,192,PatchTST,98,0.2088000327348709,5
Weather,192,PatchTST,99,0.20932821929454803,5
Weather,192,PatchTST,100,0.2103157788515091,5
Weather,192,PatchTST,101,0.2107817679643631,5
Weather,192,PatchTST,102,0.21121442317962646,5
Weather,192,PatchTST,103,0.2118627279996872,5
Weather,192,PatchTST,104,0.21232524514198303,5
Weather,192,PatchTST,105,0.21337492763996124,5
Weather,192,PatchTST,106,0.21375718712806702,5
Weather,192,PatchTST,107,0.214407280087471,5
Weather,192,PatchTST,108,0.21497225761413574,5
Weather,192,PatchTST,109,0.21553604304790497,5
Weather,192,PatchTST,110,0.21637535095214844,5
Weather,192,PatchTST,111,0.21663632988929749,5
Weather,192,PatchTST,112,0.21719440817832947,5
Weather,192,PatchTST,113,0.21831460297107697,5
Weather,192,PatchTST,114,0.21861803531646729,5
Weather,192,PatchTST,115,0.2190835028886795,5
Weather,192,PatchTST,116,0.21967288851737976,5
Weather,192,PatchTST,117,0.2202780693769455,5
Weather,192,PatchTST,118,0.2204996794462204,5
Weather,192,PatchTST,119,0.2213880568742752,5
Weather,192,PatchTST,120,0.22187268733978271,5
Weather,192,PatchTST,121,0.22217890620231628,5
Weather,192,PatchTST,122,0.2230590283870697,5
Weather,192,PatchTST,123,0.22348836064338684,5
Weather,192,PatchTST,124,0.22424030303955078,5
Weather,192,PatchTST,125,0.22462253272533417,5
Weather,192,PatchTST,126,0.22511117160320282,5
Weather,192,PatchTST,127,0.22598609328269958,5
Weather,192,PatchTST,128,0.22627846896648407,5
Weather,192,PatchTST,129,0.22698259353637695,5
Weather,192,PatchTST,130,0.22755463421344757,5
Weather,192,PatchTST,131,0.228048175573349,5
Weather,192,PatchTST,132,0.22856147587299347,5
Weather,192,PatchTST,133,0.22922857105731964,5
Weather,192,PatchTST,134,0.2298586070537567,5
Weather,192,PatchTST,135,0.23046357929706573,5
Weather,192,PatchTST,136,0.2309916466474533,5
Weather,192,PatchTST,137,0.2319226711988449,5
Weather,192,PatchTST,138,0.2324429750442505,5
Weather,192,PatchTST,139,0.23270538449287415,5
Weather,192,PatchTST,140,0.2336973249912262,5
Weather,192,PatchTST,141,0.23429524898529053,5
Weather,192,PatchTST,142,0.23514273762702942,5
Weather,192,PatchTST,143,0.235805481672287,5
Weather,192,PatchTST,144,0.23654301464557648,5
Weather,192,PatchTST,145,0.2370825707912445,5
Weather,192,PatchTST,146,0.2384503185749054,5
Weather,192,PatchTST,147,0.23954784870147705,5
Weather,192,PatchTST,148,0.24032652378082275,5
Weather,192,PatchTST,149,0.2412620484828949,5
Weather,192,PatchTST,150,0.24207976460456848,5
Weather,192,PatchTST,151,0.2433760166168213,5
Weather,192,PatchTST,152,0.24420718848705292,5
Weather,192,PatchTST,153,0.24453413486480713,5
Weather,192,PatchTST,154,0.24566666781902313,5
Weather,192,PatchTST,155,0.24678373336791992,5
Weather,192,PatchTST,156,0.24809499084949493,5
Weather,192,PatchTST,157,0.24881044030189514,5
Weather,192,PatchTST,158,0.250029057264328,5
Weather,192,PatchTST,159,0.25138378143310547,5
Weather,192,PatchTST,160,0.25242382287979126,5
Weather,192,PatchTST,161,0.2536007761955261,5
Weather,192,PatchTST,162,0.25461775064468384,5
Weather,192,PatchTST,163,0.25602608919143677,5
Weather,192,PatchTST,164,0.25700339674949646,5
Weather,192,PatchTST,165,0.2584490478038788,5
Weather,192,PatchTST,166,0.2593382000923157,5
Weather,192,PatchTST,167,0.26037532091140747,5
Weather,192,PatchTST,168,0.2617892324924469,5
Weather,192,PatchTST,169,0.26285362243652344,5
Weather,192,PatchTST,170,0.2640625536441803,5
Weather,192,PatchTST,171,0.2648929953575134,5
Weather,192,PatchTST,172,0.2656969428062439,5
Weather,192,PatchTST,173,0.26664406061172485,5
Weather,192,PatchTST,174,0.2677791118621826,5
Weather,192,PatchTST,175,0.26875609159469604,5
Weather,192,PatchTST,176,0.2696346938610077,5
Weather,192,PatchTST,177,0.27044352889060974,5
Weather,192,PatchTST,178,0.2714403569698334,5
Weather,192,PatchTST,179,0.27182334661483765,5
Weather,192,PatchTST,180,0.27275970578193665,5
Weather,192,PatchTST,181,0.273729145526886,5
Weather,192,PatchTST,182,0.2743951678276062,5
Weather,192,PatchTST,183,0.2756563425064087,5
Weather,192,PatchTST,184,0.27629679441452026,5
Weather,192,PatchTST,185,0.2772652804851532,5
Weather,192,PatchTST,186,0.27820608019828796,5
Weather,192,PatchTST,187,0.2788271903991699,5
Weather,192,PatchTST,188,0.2790140211582184,5
Weather,192,PatchTST,189,0.28001269698143005,5
Weather,192,PatchTST,190,0.2806313633918762,5
Weather,192,PatchTST,191,0.2811622619628906,5
Weather,192,PatchTST,192,0.2811536490917206,5
Weather,192,PatchFusionBERT_v0,1,0.03887595981359482,5
Weather,192,PatchFusionBERT_v0,2,0.0512208566069603,5
Weather,192,PatchFusionBERT_v0,3,0.0631883293390274,5
Weather,192,PatchFusionBERT_v0,4,0.06794203072786331,5
Weather,192,PatchFusionBERT_v0,5,0.07377655804157257,5
Weather,192,PatchFusionBERT_v0,6,0.07781712710857391,5
Weather,192,PatchFusionBERT_v0,7,0.0815691202878952,5
Weather,192,PatchFusionBERT_v0,8,0.08363646268844604,5
Weather,192,PatchFusionBERT_v0,9,0.08732195198535919,5
Weather,192,PatchFusionBERT_v0,10,0.09124920517206192,5
Weather,192,PatchFusionBERT_v0,11,0.09389588236808777,5
Weather,192,PatchFusionBERT_v0,12,0.09689435362815857,5
Weather,192,PatchFusionBERT_v0,13,0.09879846125841141,5
Weather,192,PatchFusionBERT_v0,14,0.10163673013448715,5
Weather,192,PatchFusionBERT_v0,15,0.10394264757633209,5
Weather,192,PatchFusionBERT_v0,16,0.1059727892279625,5
Weather,192,PatchFusionBERT_v0,17,0.10846000909805298,5
Weather,192,PatchFusionBERT_v0,18,0.1110817939043045,5
Weather,192,PatchFusionBERT_v0,19,0.11301843076944351,5
Weather,192,PatchFusionBERT_v0,20,0.11571066081523895,5
Weather,192,PatchFusionBERT_v0,21,0.11728526651859283,5
Weather,192,PatchFusionBERT_v0,22,0.11971189081668854,5
Weather,192,PatchFusionBERT_v0,23,0.1214962750673294,5
Weather,192,PatchFusionBERT_v0,24,0.12334130704402924,5
Weather,192,PatchFusionBERT_v0,25,0.12567417323589325,5
Weather,192,PatchFusionBERT_v0,26,0.1276334971189499,5
Weather,192,PatchFusionBERT_v0,27,0.12937843799591064,5
Weather,192,PatchFusionBERT_v0,28,0.1309054046869278,5
Weather,192,PatchFusionBERT_v0,29,0.1328146904706955,5
Weather,192,PatchFusionBERT_v0,30,0.13507921993732452,5
Weather,192,PatchFusionBERT_v0,31,0.13620556890964508,5
Weather,192,PatchFusionBERT_v0,32,0.13825201988220215,5
Weather,192,PatchFusionBERT_v0,33,0.13971617817878723,5
Weather,192,PatchFusionBERT_v0,34,0.14182572066783905,5
Weather,192,PatchFusionBERT_v0,35,0.14235611259937286,5
Weather,192,PatchFusionBERT_v0,36,0.1437256783246994,5
Weather,192,PatchFusionBERT_v0,37,0.14551332592964172,5
Weather,192,PatchFusionBERT_v0,38,0.1486932337284088,5
Weather,192,PatchFusionBERT_v0,39,0.14797908067703247,5
Weather,192,PatchFusionBERT_v0,40,0.14946213364601135,5
Weather,192,PatchFusionBERT_v0,41,0.15163536369800568,5
Weather,192,PatchFusionBERT_v0,42,0.15293177962303162,5
Weather,192,PatchFusionBERT_v0,43,0.1536044180393219,5
Weather,192,PatchFusionBERT_v0,44,0.15506674349308014,5
Weather,192,PatchFusionBERT_v0,45,0.15663288533687592,5
Weather,192,PatchFusionBERT_v0,46,0.1573469638824463,5
Weather,192,PatchFusionBERT_v0,47,0.15885977447032928,5
Weather,192,PatchFusionBERT_v0,48,0.16003713011741638,5
Weather,192,PatchFusionBERT_v0,49,0.16099444031715393,5
Weather,192,PatchFusionBERT_v0,50,0.16252315044403076,5
Weather,192,PatchFusionBERT_v0,51,0.1640886664390564,5
Weather,192,PatchFusionBERT_v0,52,0.16492332518100739,5
Weather,192,PatchFusionBERT_v0,53,0.16644978523254395,5
Weather,192,PatchFusionBERT_v0,54,0.16795672476291656,5
Weather,192,PatchFusionBERT_v0,55,0.16960059106349945,5
Weather,192,PatchFusionBERT_v0,56,0.17034228146076202,5
Weather,192,PatchFusionBERT_v0,57,0.17163008451461792,5
Weather,192,PatchFusionBERT_v0,58,0.17505082488059998,5
Weather,192,PatchFusionBERT_v0,59,0.17370623350143433,5
Weather,192,PatchFusionBERT_v0,60,0.17463016510009766,5
Weather,192,PatchFusionBERT_v0,61,0.17555606365203857,5
Weather,192,PatchFusionBERT_v0,62,0.1766221821308136,5
Weather,192,PatchFusionBERT_v0,63,0.17786303162574768,5
Weather,192,PatchFusionBERT_v0,64,0.17913654446601868,5
Weather,192,PatchFusionBERT_v0,65,0.18099871277809143,5
Weather,192,PatchFusionBERT_v0,66,0.18198251724243164,5
Weather,192,PatchFusionBERT_v0,67,0.18243321776390076,5
Weather,192,PatchFusionBERT_v0,68,0.183798685669899,5
Weather,192,PatchFusionBERT_v0,69,0.18444907665252686,5
Weather,192,PatchFusionBERT_v0,70,0.18535205721855164,5
Weather,192,PatchFusionBERT_v0,71,0.18633559346199036,5
Weather,192,PatchFusionBERT_v0,72,0.18697193264961243,5
Weather,192,PatchFusionBERT_v0,73,0.18769338726997375,5
Weather,192,PatchFusionBERT_v0,74,0.18850642442703247,5
Weather,192,PatchFusionBERT_v0,75,0.18928217887878418,5
Weather,192,PatchFusionBERT_v0,76,0.19071327149868011,5
Weather,192,PatchFusionBERT_v0,77,0.1910901814699173,5
Weather,192,PatchFusionBERT_v0,78,0.19184313714504242,5
Weather,192,PatchFusionBERT_v0,79,0.19280995428562164,5
Weather,192,PatchFusionBERT_v0,80,0.19352367520332336,5
Weather,192,PatchFusionBERT_v0,81,0.1944458782672882,5
Weather,192,PatchFusionBERT_v0,82,0.19535556435585022,5
Weather,192,PatchFusionBERT_v0,83,0.1960102617740631,5
Weather,192,PatchFusionBERT_v0,84,0.1965077817440033,5
Weather,192,PatchFusionBERT_v0,85,0.19727244973182678,5
Weather,192,PatchFusionBERT_v0,86,0.19783270359039307,5
Weather,192,PatchFusionBERT_v0,87,0.19830213487148285,5
Weather,192,PatchFusionBERT_v0,88,0.19931194186210632,5
Weather,192,PatchFusionBERT_v0,89,0.1996423900127411,5
Weather,192,PatchFusionBERT_v0,90,0.20047588646411896,5
Weather,192,PatchFusionBERT_v0,91,0.20101182162761688,5
Weather,192,PatchFusionBERT_v0,92,0.20149242877960205,5
Weather,192,PatchFusionBERT_v0,93,0.20229363441467285,5
Weather,192,PatchFusionBERT_v0,94,0.2027064859867096,5
Weather,192,PatchFusionBERT_v0,95,0.20395693182945251,5
Weather,192,PatchFusionBERT_v0,96,0.20552292466163635,5
Weather,192,PatchFusionBERT_v0,97,0.20557379722595215,5
Weather,192,PatchFusionBERT_v0,98,0.20635156333446503,5
Weather,192,PatchFusionBERT_v0,99,0.20707789063453674,5
Weather,192,PatchFusionBERT_v0,100,0.20715296268463135,5
Weather,192,PatchFusionBERT_v0,101,0.20809006690979004,5
Weather,192,PatchFusionBERT_v0,102,0.20938269793987274,5
Weather,192,PatchFusionBERT_v0,103,0.2089795172214508,5
Weather,192,PatchFusionBERT_v0,104,0.20922736823558807,5
Weather,192,PatchFusionBERT_v0,105,0.2102431058883667,5
Weather,192,PatchFusionBERT_v0,106,0.2111470252275467,5
Weather,192,PatchFusionBERT_v0,107,0.21127302944660187,5
Weather,192,PatchFusionBERT_v0,108,0.2120521366596222,5
Weather,192,PatchFusionBERT_v0,109,0.212943434715271,5
Weather,192,PatchFusionBERT_v0,110,0.2130691111087799,5
Weather,192,PatchFusionBERT_v0,111,0.213664248585701,5
Weather,192,PatchFusionBERT_v0,112,0.21458885073661804,5
Weather,192,PatchFusionBERT_v0,113,0.21548743546009064,5
Weather,192,PatchFusionBERT_v0,114,0.21567697823047638,5
Weather,192,PatchFusionBERT_v0,115,0.2159971296787262,5
Weather,192,PatchFusionBERT_v0,116,0.2168344259262085,5
Weather,192,PatchFusionBERT_v0,117,0.2171887904405594,5
Weather,192,PatchFusionBERT_v0,118,0.21787163615226746,5
Weather,192,PatchFusionBERT_v0,119,0.2182506024837494,5
Weather,192,PatchFusionBERT_v0,120,0.2191169708967209,5
Weather,192,PatchFusionBERT_v0,121,0.21960346400737762,5
Weather,192,PatchFusionBERT_v0,122,0.22061800956726074,5
Weather,192,PatchFusionBERT_v0,123,0.22088098526000977,5
Weather,192,PatchFusionBERT_v0,124,0.22176365554332733,5
Weather,192,PatchFusionBERT_v0,125,0.22174055874347687,5
Weather,192,PatchFusionBERT_v0,126,0.22244390845298767,5
Weather,192,PatchFusionBERT_v0,127,0.22295264899730682,5
