dataset,horizon,comparison,model_a,model_b,metric,n_pairs,n_nonzero,statistic,p_value,mean_diff,median_diff,rank_biserial,winner,significant,p_holm,p_fdr_bh,significant_holm,significant_fdr_bh
Illness,24,PatchFusionBERT_v0 vs DLinear,PatchFusionBERT_v0,DLinear,MSE,5,5,1.0,0.125,-0.6740201950073242,-0.658017635345459,-0.8666666666666667,PatchFusionBERT_v0,No,1.0,0.214286,No,No
Illness,24,PatchFusionBERT_v0 vs DLinear,PatchFusionBERT_v0,DLinear,MAE,5,5,0.0,0.0625,-0.2532972574234008,-0.3220940232276916,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
Illness,24,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MSE,5,5,6.0,0.8125,0.0413004875183105,0.0502808094024658,0.2,PatchTST,No,1.0,0.873134,No,No
Illness,24,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MAE,5,5,7.0,1.0,0.0068954229354858,0.0439720749855041,0.0666666666666666,PatchTST,No,1.0,1.0,No,No
Illness,48,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MSE,5,5,0.0,0.0625,-0.1557267665863037,-0.2013542652130127,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
Illness,48,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MAE,5,5,1.0,0.125,-0.0632309436798095,-0.1000465154647827,-0.8666666666666667,PatchFusionBERT_v0,No,1.0,0.214286,No,No
Illness,48,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MSE,5,5,0.0,0.0625,-0.1314391136169433,-0.1163642406463623,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
Illness,48,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MAE,5,5,0.0,0.0625,-0.0369786977767944,-0.0307552814483642,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
Illness,48,PatchFusionBERT_v0 vs DLinear,PatchFusionBERT_v0,DLinear,MSE,5,5,0.0,0.0625,-0.8137105464935303,-0.4028494358062744,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
Illness,48,PatchFusionBERT_v0 vs DLinear,PatchFusionBERT_v0,DLinear,MAE,5,5,0.0,0.0625,-0.2646692514419556,-0.1827987432479858,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
Illness,48,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MSE,5,5,5.0,0.625,-0.0242876529693603,-0.0739107131958007,-0.3333333333333333,PatchFusionBERT_v2,No,1.0,0.737705,No,No
Illness,48,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MAE,5,5,3.0,0.3125,-0.0262522459030151,-0.0399631261825561,-0.6,PatchFusionBERT_v2,No,1.0,0.424528,No,No
